source,translation,context
"Cannot complete: truck weights (gross, tare, net) are required","ไม่สามารถเสร็จสิ้น: ต้องมีน้ำหนักรถ (รวม, ภาชนะ, สุทธิ)",""

# Container Redesign - Print format labels (Wave 4)
"Deviation","ความเบี่ยงเบน",""
"Reweighed","ชั่งใหม่แล้ว",""
"deviation(s)","ความเบี่ยงเบน",""
"Unplanned","นอกแผน",""
"Unapproved deviations present","มีความเบี่ยงเบนที่ยังไม่ได้อนุมัติ",""
"Review before completing","ตรวจสอบก่อนเสร็จสิ้น",""
"Verification overridden","ยืนยันโดยข้ามการตรวจสอบ",""
"by","โดย",""
"at","เวลา",""

# Container Redesign - Deviation type select-options
"Downgrade","ลดเกรด",""
"Upgrade","เพิ่มเกรด",""
"Substitution","ทดแทน",""
"Unplanned-Add","เพิ่มนอกแผน",""

# Container Redesign - Desk form button labels (Wave 5)
"Reweigh","ชั่งใหม่",""
"Void","ยกเลิก",""
"Print Thermal","พิมพ์ใบรับ",""
"Print Sticker","พิมพ์สติ๊กเกอร์",""
"Print","พิมพ์",""
"Approve Deviation","อนุมัติความเบี่ยงเบน",""
"Approve","อนุมัติ",""
"Reason","เหตุผล",""
"Reason (optional)","เหตุผล (ไม่บังคับ)",""
"New Net Weight (kg)","น้ำหนักสุทธิใหม่ (กก.)",""
"Reweigh Container","ชั่งภาชนะใหม่",""
"Save","บันทึก",""
"Void Container","ยกเลิกภาชนะ",""
"Confirm","ยืนยัน",""
"Container Actions","การดำเนินการภาชนะ",""
"Pause Weighing","หยุดการชั่งชั่วคราว",""
"Pause","หยุดชั่วคราว",""
"Resume Weighing","ทำงานต่อ",""
"Resume","ทำงานต่อ",""
"POS Session","เซสชัน POS",""
"New POS Session","เซสชัน POS ใหม่",""
"Switch Scale","เปลี่ยนตราชั่ง",""
"New Scale","ตราชั่งใหม่",""
"Reassign Session","เปลี่ยนเซสชัน",""
"Mark Verified (Override)","ยืนยันการตรวจสอบ (ข้าม)",""
"Mark Verified","ยืนยันการตรวจสอบ",""
"Override Reason","เหตุผลในการข้าม",""
"Print all (thermal)","พิมพ์ใบรับทั้งหมด",""
"Print all (stickers)","พิมพ์สติ๊กเกอร์ทั้งหมด",""
